00:11 prisq     : Pyxel
00:17 prisq     : fishing_rod
00:18 prisq     : material.fish_fillet 3
00:18 prisq     : material.fish_fillet 3
00:18 prisq     : material.fish_fillet 3
00:18 prisq     : material.fish_fillet 3
00:18 prisq     : material.moss_fish_fillet 6
00:18 prisq     : material.moss_fish_fillet 10
00:19 prisq     : material.moss_fish_fillet 20
00:19 prisq     : material.moss_fish_fillet 20
00:19 prisq     : material.sapphire_fish_fillet 6
00:19 prisq     : material.saphire_fish_fillet 6
00:19 prisq     : material.saphire_fish_fillet 6
00:19 prisq     : material.golden_fish_fillet 3
00:24 prisq     : armor.mythril_chestplate 1
00:24 prisq     : gold 1
00:24 prisq     : gold_ingot 1
00:28 prisq     : diamond_chestplate
00:28 prisq     : diamond_helmet
00:29 prisq     : gathering.compacted_wheat
00:29 prisq     : gathering.compacted_wheat
00:29 prisq     : gathering.compacted_wheat
00:29 prisq     : gathering.compacted_wheat
00:29 prisq     : gathering.compacted_wheat 5
00:30 prisq     : gathering.compacted_potato 5
00:30 prisq     : gathering.compacted_oak_wood 10
00:31 prisq     : gathering.compacted_oak_log 10
00:31 prisq     : gathering.compacted_spruce_log 10
00:32 prisq     : material.saphire_fish_fillet 5
00:32 prisq     : material.saphire_fish_fillet 56
00:32 prisq     : material.saphire_fish_fillet 6
00:32 prisq     : material.golden_fish_fillet 1
02:23 prisq     : stop
13:13 prisq     : á
18:06 prisq     : material.titanium_core
18:09 prisq     : blaze_powder 3
18:09 prisq     : blaze_powder 3
18:09 prisq     : blaze_powder 3
18:09 prisq     : blaze_powder 3
18:09 prisq     : blaze_powder 3
18:09 prisq     : blaze_powder 1
18:09 prisq     : blaze_powder 1
18:09 prisq     : blaze_powder 3
18:09 prisq     : blaze_powder 3
18:09 prisq     : blaze_powder 3
18:10 prisq     : netherite_scrap 1
18:11 prisq     : mythril_ore
18:11 prisq     : material.mythril_ingot
18:11 prisq     : material.mythril_ingot 2
18:11 prisq     : 2
18:11 prisq     : material.mythril_ingot 2
18:11 prisq     : material.orichalcum_ingot 2
19:14 prisq     : tasd
19:19 prisq     : Mythril
21:38 prisq     : material.nightmare_bar 16
21:38 prisq     : quinerus_cloak
21:38 prisq     : quinerus_cloak
21:39 prisq     : material.quinerus_cloak
21:46 prisq     : material.quinerus_cloak
21:47 prisq     : material.quinerus_cloak
21:47 prisq     : material.quinerus_cloak
21:48 prisq     : cancel
21:48 prisq     : material.caelatus_ring
21:48 prisq     : material.caeletus_ring
21:48 prisq     : material.caeletus_ring
21:48 prisq     : material.caeletus_ring
21:49 prisq     : material.mortos_belt
21:49 prisq     : material.mortos_belt
21:49 prisq     : material.mortos_belt
21:49 prisq     : material.hexim_necklace
21:49 prisq     : material.hexim_necklace
21:50 prisq     : material.hexim_necklace
22:42 prisq     : stop
