01:05 prisq     : ン
18:28 prisq     : cancel
18:33 prisq     : 1
18:34 prisq     : -c mm m s -p %player_name% TITANIUM_GOLEM
19:00 prisq     : 72
19:00 prisq     : 73
19:00 prisq     : 74
19:00 prisq     : 73
19:09 prisq     : cancel
19:09 prisq     : material.titanium_ingot 5
19:10 prisq     : iron_ingot 3
19:10 prisq     : iron_ingot 3
19:10 prisq     : redstone 8
19:10 prisq     : redstone 8
19:10 prisq     : material.voidstone 32
19:10 prisq     : material.void_stone 32
19:11 prisq     : material.iridium_crystal 5
19:11 prisq     : cancel
19:11 prisq     : material.uranium 5
19:11 prisq     : endstone 64
19:11 prisq     : end_stone 64
19:11 prisq     : end_stone 64
19:11 prisq     : material.bloom_doom 1
19:11 prisq     : material.bloom_doom 1
19:12 prisq     : tripwire_hook
19:12 prisq     : iron_ingot
19:13 prisq     : gold_ingot
19:13 prisq     : redstone 6
19:13 prisq     : lapis 6
19:13 prisq     : lapis_lazuli 12
19:13 prisq     : redstone 12
19:13 prisq     : iron_ingot
19:13 prisq     : cancel
19:14 prisq     : material.mythril_ingot
19:14 prisq     : material.mythril_ingot
19:14 prisq     : material.orichalcum_ingot
19:14 prisq     : tripwire_hook
19:14 prisq     : null_cell
19:14 prisq     : material.null_cell
19:14 prisq     : material.null_cell
19:17 prisq     : iridium_crystal
19:17 prisq     : iridium_crystal
19:17 prisq     : iridium_crystal
19:17 prisq     : material.iridium_crystal 2
19:17 prisq     : material.iridium_crystal 2
19:17 prisq     : material.uranium 2
19:17 prisq     : material.uranium 2
